content,time,abstract,title
"中国证券监管机构对市场操纵开出了有史以来最大的罚单之一，此举表明有关部门加大了执法力度。
中国证监会(CSRC)在其网站上表示，对唐汉博及同伙数次操纵A股股票开出12亿元人民币（合1.74亿美元）的罚单，该金额包括罚款和没收的违法所得。在此之前，中国证监会上月还对鲜言利用虚假信息披露操纵市场罚没35亿元人民币。
英国《金融时报》查阅公开披露信息和媒体报道之后发现，对鲜言的处罚似乎是有史以来最大的行政罚单。仅仅唐汉博和鲜言两案就已经让2017年成为中国证监会罚没款创出历史最高纪录的一年，这是中国证监会罚没款连续第三年创出新高。中国证监会在2016年开出了43亿元人民币的罚单，较2015年的纪录增长2.9倍。
今年1月，一家法院判决著名对冲基金经理徐翔犯操纵证券市场罪，判处5年6个月有期徒刑。该法院没有公开宣布罚金，但国内媒体表示，徐翔将被罚110亿元人民币——徐翔2015年在中国富豪排行榜上排名第188位，估计拥有140亿美元财富。
在一次市场操纵中，唐汉博使用3个独立的香港账户和一个内地账户，通过“沪股通”进行交易。“沪股通”在2014年年末推出，首次允许外国投资者直接投资于中国内地股票市场。
唐汉博使用香港账户显然是为了掩饰其交易活动。内地监管机构和证券交易所维护着一个实时识别交易者的系统，而香港证监会(SFC)要在事后从经纪商那里获取投资者的身份信息。
中国证监会表示，它与香港证监会合作，查出唐汉博操纵市场，这是查出的利用“沪港通”的首例跨境操纵市场案件。在香港和内地有关部门去年12月开通“深港通”的时候，它们还签署了加大信息共享的协议。
译者/邹策",2017年3月14日 07:14,中国证监会对唐汉博及同伙数次操纵A股股票开出12亿元人民币的罚单，为其有史以来最大的罚单之一。,中国证监会严惩唐汉博跨境操纵案
"本周初，当港交所(HKEx)年报公布时，周松岗(CK Chow)表达了谨慎的看法。在平均日成交量下降37%的情况下，当这位港交所主席谈到“具有挑战性的”前景和动荡的市场行情时，他的谨慎是可以理解的。
不过，这种谨慎与市场情绪不符。由蓝筹股组成的恒生指数(Hang Seng Index)和聚焦内地企业的恒生中国企业指数（HSCEI，简称国企指数）居于2017年开年表现最好的亚洲股指之列。这两大股指的上涨，均标志着各自2012年以来的首次开年上涨。
恒生指数上涨了7.9%，国企指数上涨了9.5%。上个月的交易额比去年平均月交易额高五分之一，大宗交易——标志着机构投资者的胃口——大幅增加。
但这轮上涨行情目前尚未能使恒生指数稳稳站到24000点的关键点位上方，这一关口或多或少地充当了过去7年恒生指数的天花板。昨日恒生指数收跌0.8%，收于23740点。
策略分析师称，关键是市场关于中国内地的情绪将如何演变。恒生指数超过四分之三的市值由内地企业构成。这强化了人们对国企指数——仅包含在香港上市的内地企业——的关注。
“当投资者察觉有麻烦时，往往只关注中国内地，但我们认为如今是考虑机会的好时机，”贝莱德(BlackRock)中国股票主管朱悦(Helen Zhu)表示。
在收益方面，长期以来国企指数的估值似乎一直很低，预期市盈率仅为8倍。尽管比一年前的6倍预期市盈率高，但沪指和侧重科技股的深指的预期市盈率分别为13倍和23倍。
投资者调查表明，相比基准指数，国际基金管理公司持有中国股票的仓位为十年来最低。不过交易员和银行人士称，国际买家没有推动此轮上涨，因此如果那些低配的投资者之后选择买入，可能提供新的上涨动力。
“在我们看来，中国不断改善的基本面支撑了股市最近的涨势，”瑞士信贷私人银行(Credit Suisse Private Banking)亚太区首席投资官约翰•伍兹(John Woods)表示。
他预测，未来数月国企指数可能再上涨11%。
到目前为止，证据指向了推动香港股市上涨的是内地投资者。2017年，经由沪港通和深港通渠道的净资金流入达到近70亿美元，比去年增加了近50%。
“涨势的关键催化剂是沪港通和深港通资金南向流动的明显加快，”摩根士丹利(Morgan Stanley)亚洲及新兴市场首席股票策略师乔纳森•加纳(Jonathan Garner)解释称。该行认为年底恒生指数的目标点位为26000点。
银行家表示，南向资金增加，是保险公司和共同基金对香港市场兴趣日益浓厚的结果。因此，内地A股对H股（内地公司在香港上市的股票）的持续溢价徘徊在两年来的最低点附近。溢价从一年前的37%下降到19%。
北京政策制定者给中国房地产市场降温的努力也促使投资者转向股票：2月份上证综指(Shanghai Composite)上涨2.6%，为去年11月以来的最好行情。
人民币汇率也在起作用。去年的人民币贬值——人民币兑美元离岸汇率下跌5.8%——促使内地资金进入跟美元挂钩的香港，以此作为风险对冲。今年，人民币离岸汇率升高，加上一系列令人惊讶的贸易和制造业乐观数据，都表明中国经济正在企稳。
然而，分析师们警告称，香港股市的上涨也可能逆转。他们提到了美国保护主义对于重度依赖出口的中国的风险，以及不断升高的美联储(Fed)可能超预期收紧政策的危险。一段时间以来，中国也在收紧货币政策。
“今年到目前为止，我们可以说宏观经济呈现出更乐观的迹象，但我仍认为，要说中国经济的方方面面都很好，还为时过早，”高盛(Goldman Sachs)首席中国策略师刘劲津(Kinger Lau)说，“形势变得越来越好，但自满情绪也相当高——我们可以说，短期市场势头将很不错，但长期势头我就不太肯定了。”
译者/何黎",2017年3月1日 12:33,今年恒生指数上涨了7.9%，恒生中国企业指数上涨了9.5%。沪港通和深港通资金南向流动的明显加快推动了此轮上涨。,内地投资者推动香港股市上涨
"手握大量现金的中国企业现在找不到什么投资渠道。
万得资讯(Wind Financial Information)数据显示，由于去年中国经济增长放缓、投资机会逐渐减少，上市公司用大量闲置资金购买金融产品（主要是银行发售的金融产品），总金额达1100亿美元，创下了纪录。
企业资金大量流入理财产品（较上年增长约40%）表明，许多中国企业在经济放缓时期不愿进行有风险的企业扩张，而宁愿进行短期投资。
这些企业购买的产品当中，有近一半的期限为1至3个月。
“它们认为，与其他投资机会相比，这些产品提供了有吸引力的风险回报比，特别是在经济仍承受下行压力的时候，”BMI Research驻新加坡高级分析师Chua Han Teng说。
2016年，中国国内生产总值(GDP)增长6.7%，达到政府目标的上端，但仍为1990年以来增速最慢的年份。
2016年初，政策制定者们表示，他们将再次针对国有企业推出刺激性支出计划，同时通过并购推动整合。
这些努力并没有收到效果。经历了两年的快速增长之后，国内并购交易额去年同比减少了19%。固定资产投资同比增长8.1%，为1999年以来的最低增速。
中国企业投资理财产品的钱当中，有大约640亿美元是通过首次公开发行(IPO)和定向增发从投资者手中筹得的。这表明，尽管企业投资兴趣低迷，但中国的企业仍寻求坚持持有资金。
“这反映出了中国资本与信贷市场的低效，中国企业不得不以预防性地囤积现金来应对这种低效，”标普全球评级(S&P Global Ratings)金融机构业务高级总监廖强说。
富达国际(Fidelity International)投资总监Catherine Yeung说，中国企业资本支出从2012年开始下降，导致它们从年度业务战略中移除或缩小了支出计划。
Yeung表示，2016年，许多企业的利润有意外的增长，导致它们手头的现金多于之前的预期。如果经济形势稳定，企业的管理者可能会在2017年下半年部署其中部分资金。
“（2016年）自由现金流开始回升，但你并没有看到资本支出周期发生转向，”Yeung表示，“特别是在（今年）下半年，资本支出是否会回升，将是件值得关注的事情。”
过去4年里，中国监管机构向上市企业施加了压力，要求它们定期派发股息，希望以此让中国内地的交易所更加符合国际标准。
而购买理财产品之举表明，许多国有企业仍拒绝向股东返还现金。
“政府在许多国有企业中仍持有较高比例的股份，常常高于50%。因此，机构投资者无法施压企业要它们派息，”中国银河国际(China Galaxy International )执行董事王志文(Wong Chi-man)说。
译者/何黎",2017年2月7日 18:06,由于经济增长放缓、投资机会减少，去年中国上市公司用大量闲置资金购买理财产品，总金额达1100亿美元、创下纪录。,中国上市公司购买理财产品金额创纪录
"英国退欧的金融冲击波昨日加剧，全球股市和英镑遭到重创，全球增长前景变弱以及漫长的政治不确定导致投资者情绪恶化。
银行、航空公司和住宅建筑商成为抛售目标，英国市场首当其冲，但随着投资者寻求国债和美元等避风港，痛苦席卷了整个欧洲和华尔街。
标准普尔(Standard & Poor's)昨晚摘去了英国最后一个AAA主权评级，将其调降两级至AA，理由是上周脱欧公投后英国经济、财政和宪法上的风险。此举造成了新的打击。
此前，政府债券收益率大幅走低，英国10年期金边证券首次跌破1%，刺激了金融股的卖盘，银行与保险业受到利率不断降低前景的挤压。
伦敦富时250指数(FTSE 250)下挫7%，该指数是英国经济的一个风向标，而比较全球化的蓝筹股指数富时100(FTSE 100)下跌2.6%。过去两个交易日富时250指数跌去了14%，创1987年股灾以来最糟的连败纪录。
英国政府虽努力提振信心，仍挡不住大幅抛售。财政大臣乔治•奥斯本(George Osborne)打破连日沉默，在市场开盘前向投资者保证政府财政和银行业仍然稳健。奥斯本说：“我国经济相当强大，足以对抗我们国家现在面临的挑战。”
英国首相戴维•卡梅伦(David Cameron)也试图安抚情绪，向议会表明他已采取步骤稳定经济，并为与布鲁塞尔展开英国脱欧谈判做好准备。
卡梅伦说：“我相信每个人都同意，我们会希望与我们的欧洲邻国保持强大的经济联系。”
但全球市场无视这些努力。泛欧斯托克600指数(Stoxx 600)收跌4.1%。纽约的标普500(S&P 500)指数收市时下跌1.8%，道琼斯工业平均指数(Dow Jones Industrial Average)收市时下挫1.5%，纳斯达克指数(Nasdaq)则收跌2.4%。
译者/何黎",2016年6月28日 06:24,标普将英国主权评级从AAA调降两级，至AA；富时250指数两个交易日跌去14%，创1987年股灾以来最糟连败纪录。,英国主权评级遭下调 股市连跌14%
"在亚洲，所有人都在谈论香港股市的暴涨。继昨天上涨3.8%之后，恒生指数(Hang Seng)在开盘几分钟内上涨6.4%，收盘时涨幅回落至2.7%，这也令恒生指数创下2008年1月以来的最高收盘价。
由于中国内地股市的散户通过“沪港通”(Shanghai-Hong Kong Stock Connect)大量涌入，香港股市的成交量也急剧增加。
此外，香港股市当日总成交量达到2650亿港元，超过了周三创下的记录。相比之下，2014年的平均日成交量只有690亿美元。
自去年11月开通以来，沪港通就已令上海和香港的投资者能够越境开展股票交易。然而，在上个月监管机构允许国内互惠基金使用这一机制以前，沪港通的成交量一直不高。
在沪市，中国投资者一直在以创纪录的速度开设新账户，将资金注入股市，部分中国企业的估值已成天价。相对来说，香港股市显得划算多了。
至于内地投资者为何会被香港股市吸引，这从AH溢价指数(A-H Premium)就可以看出来。该指数跟踪研究了在沪港两地同时上市的企业。该指数显示，就在去年11月，沪市的股价还低于香港股市的股价。
然而，在经历了一阵止跌回升之后，3月底该指数达到135点，表示对于投资同样一批企业，中国内地投资者要比香港投资者平均多支付35%的价格。如今，随着香港股市的暴涨，这一溢价已跌至25%。
就在香港股市飙升之际，中国内地股市却出现下跌。上证综指(Shanghai Composite)回落0.9%，令该指数今年迄今涨幅降至22%。
译者/简易",2015年4月9日 18:02,内地投资者涌入将恒生指数推至7年内最高收盘价，港股单日成交量再创纪录,恒生指数现7年最高收盘价
"中国主要“坏账银行”之一“中国华融资产管理公司”(China Huarong Asset Management)本周将在香港启动首次公开发行(IPO)，计划融资25亿美元，预计“基石投资者”认购的股份比例将创纪录。这表明香港市场上投资者情绪仍然低落，预示着未来的IPO前景不佳。
一名知情人士表示，华融资产可能会把超过70%的拟发售股份分配给基石投资者。基石投资者会获得他们要求的全部股份，条件是接受通常为6个月的锁定期。
这种做法一开始是为了拉拢名声显赫的机构认购，从而吸引潜在投资者，但近来，基石投资者也帮助降低了新股发行中认购不足的风险。
根据Dealogic数据，基石投资者在今年香港新股发行中的认购比例达到了创纪录的38%。自香港于2010年兴起的融资热潮消退以来，这一做法就变得流行起来。
Dealogic数据显示，在融资额高于5亿美元的IPO中，分配给基石投资者的股份比例最高的是中国通号(China Railway Signal)，该公司8月IPO时股份锁定比例达67%。
华融资产在周四开始接受认购时，将公布基石投资者认购情况。另一名知情人士表示，被锁定给大型投资者的股份比例肯定将“远远高于50%”。
华融资产拒绝置评。
这是当下香港市场备受关注的三大IPO之一，人们希望从这些IPO中了解今夏中国股市下跌之后的投资者情绪。
券商表示购股需求仍然低迷，投资者不愿做出新的押注，而是调整头寸、等待市场情绪变得更加明朗。
中国内地保险商中国再保险(China Re)计划本周一开始接受投资者认购，拟融资20亿美元，并将在同日宣布基石投资者认购情况。知情人士表示，中再保基石投资者的认购比例预计也将超过50%。
私人股本集团KKR和TPG持有股份的投行中金公司(CICC)，预计也将在未来几周里IPO，寻求融资10亿美元。
华融招股中有一个难处，它需要证明定价高于同行信达资产(Cinda Asset Management)是有道理的。中国内地相关规则禁止金融企业定价低于账面价值，信达资产目前股价约为账面价值的90%，而华融的银行家需要为高出账面价值10%的溢价找出理由。
信达和华融是上世纪90年代成立、旨在吸收中国大型银行坏账的四大资产管理公司中的两家。
去年8月，华融以24亿美元的价格向多家投资者出售了21%的股权，其中包括美国华平投资集团(Warburg Pincus)和高盛(Goldman Sachs)。华融寻求通过香港IPO融资25亿美元，其估值较上次出售股份时高出三分之一。
另一方面，自去年8月以来，信达股价已下跌约三分之一。最近因计划以88亿美元向中国银行(BoC)收购南洋商业银行(NCB)，信达股价走势疲软。
至于华融的基石投资者名单，其构成和认购比例也将受到密切关注。中国国企特别出名的一点是，往往以其他国企等所谓“亲友团”而不是蓝筹机构为基石投资者。
信达的投资者包括Och-Ziff Capital、挪威央行投资管理机构(NBIM)、中国平安保险(Ping An)旗下的资产管理公司，以及橡树资本(Oaktree Capital)。
译者/邢嵬",2015年10月12日 13:29,知情人士透露，华融可能会把超过70%的拟发售股份分配给基石投资者,华融IPO倚重基石投资者
"周三，中国股市早盘大幅下滑，主要股指一度下跌逾5%，午盘时行情逆转，收复了早盘的失地。
在今日过山车般的行情中，上证综指早盘跌幅一度高达5.1%，最后却收涨1.23%。深证综指一度下跌5.3%，最后收涨2.19%。
周二尾盘的大举抛售曾导致当天上证综指收跌6.2%，深证综指收跌6.6%，是7月27日以来这两大股指的最大单日跌幅。
分析师表示，周二早盘上证综指短暂突破4000点关口，这或许促使投资者展开获利抛售，原因是这些投资者认为，股市在经历了6、7月间的暴跌后上演的磕磕绊绊的反弹，难以持续下去。
自6月12日达到七年高点后，上证综指在大约三周内跌去35%。在那之后，多亏政府出台紧急救市举措，上证综指似乎有所企稳。国有银行在此次救市中至少拿出了1440亿美元。
中国证监会上周五表示，中国证券金融股份有限公司（China Securities Finance Corp，简称：证金公司）将不再展开支撑股价的日常干预。证金公司是一家国企，为券商融资融券业务提供转融通服务，此前充当了向市场注入救市资金的主要管道。
本周的新一轮下跌，令人质疑中国政府史无前例的救市举措是否成功恢复了市场的信心。
越来越多的资本外流迹象也在打击投资者的信心。周二公布的官方数据显示，7月份银行结售汇逆差超过430亿美元，这是人民币需求正在减弱的迹象。该数据公布前，中国央行曾在上周出人意料地令人民币大幅贬值。
周三，中国央行将人民币汇率中间价设为1美元兑6.3963元人民币，与周二的1美元兑6.3966元人民币基本持平。
译者/简易",2015年8月19日 16:57,上证综指盘中一度下跌5.1%，但收盘时上涨1.23%，深证综指全天走势与此类似,中国股市再次上演“过山车”行情
"在伦敦另类投资市场（AIM，又称“二板市场”）上市的中国童鞋企业明伟鞋服(Camkids)昨日被停牌，此前该公司在伦敦的保荐人突然辞职、表示不再代表该公司。
明伟鞋服两位董事同时从董事会辞职，原因是该公司计划将大部分现金转移给三家分销商。
今年夏天明伟鞋服宣布，由于交易条件困难，该公司将取消三笔分销协议，还表示打算从分销商处回购价值约2850万英镑（约合2.85亿元人民币）的存货，然后打折出售。这笔交易将用尽明伟鞋服的几乎所有现金，据估计这些现金合每股57便士。
过去一年伦敦二板市场有十几家中国控股公司被停牌或摘牌，原因是公司治理和现金管理状况日益令人担忧，明伟鞋服是最新停牌的一家。
伦敦二板市场有四家公司来自中国福建省，自今年1月以来已有两家停牌，明伟鞋服是第三家。
今年7月运动鞋服企业奈步(Naibu Global)被摘牌，在这三个月前，奈步驻英国非执行高管发起法律行动，以重获对公司的经营及银行账户的控制权。
今年2月，奈步集团董事会承认无法联系到该公司的中国执行管理团队，其中包括董事长林火炎，他拥有该公司53%的股份。奈步于2012年4月上市，当时市值8800万英镑，至今年2月已跌去90%。
本月早些时候，同样位于福建的骏泰联合有限公司(China Chaintek)在指定保荐人辞职后股票被停牌。骏泰联合有限公司为当地制造商提供物流服务，根据伦敦二板市场规则，该集团需在一个月内找到替代的保荐人，否则其股票将被摘牌。
明伟鞋服于2012年平安夜登陆伦敦二板市场，董事长张聪明拥有公司67%的股份，该公司因在海外上市而在当地享受税收优惠。其股价已从上市时的每股88便士，下跌到接近每股3便士。
昨天明伟鞋服财务总监Ng Pei Eng和非执行董事雅克—弗兰克•多斯因(Jacques-Franck Dossin)宣布辞职，原因是该公司计划从分销商处回购存货。同时Allenby辞去该公司保荐人身份，并不再担任该公司负责与伦敦二板市场监管机构接触的代表。
几周前，明伟鞋服两名非执行董事理查德•斯威特(Richard Sweet)和Mircle Yap从董事会辞职，原因是对公司的投资者战略和股息政策有异议。明伟鞋服董事会现在只剩两名执行董事，两人都在中国。
译者/彩云",2015年9月30日 18:24,过去一年有十几家中国企业在伦敦二板市场被停牌或摘牌,福建明伟鞋服在伦敦二板市场被停牌
"还记得中国股市一个交易日就跌5%或6%是什么感觉吗？多亏了这个周二，人们得以重温这种感觉！
早盘时分，上证综指曾短暂突破4000点心理关口。但全天持续的抛压及尾盘的暴跌，还是令该指数收于3748.2点，跌幅6.15%。深证综指则收跌6.58%，至2174.4点。
这是沪市自7月27日暴跌8.5%以来的最大单日跌幅。而7月27日的跌幅，则是过去15年里上证综指的第二大单日跌幅。对深市来说，今日的跌幅则是7月27日下跌7%以来的最大跌幅。
从经济面看，今天几乎没什么令中国股市疯狂的消息。数据显示，7月份中国70个城市的新房价格同比平均下跌了3.7%，是去年12月以来的最小跌幅。另外，中国央行将人民币兑美元汇率中间价设定在了1美元兑6.3966元人民币，相对于前一日的中间价几无变化。
译者/简易",2015年8月18日 16:00,周二上证综指收跌6.15%，尽管经济面未传出什么可能刺激股市暴跌的消息,中国股市暴跌逾6%
"一些全球规模最大的对冲基金开始大举做空英镑和英国公司股票，预期英国经济将急剧恶化。这些基金中有许多在英国退欧公投期间保持了观望态度。
尽管英镑在上周四公投期间出现大幅波动，但由于对公投结果的不确定，对冲基金大都避免了在投票前夕建立大量头寸。
但多名对冲基金经理表示，他们正在狙击英镑以及被认为最容易受到英国经济衰退影响的英国公司股票。这些经理表示，他们正在抛售英镑以及由同国内经济联系密切的企业构成的富时250指数(FTSE 250)，而非比较侧重于全球经济的富时100指数(FTSE 100)。
“做空英镑是一种共识交易——人们正不顾一切地试图建立更大头寸，”一名位于伦敦、管理着数十亿美元资产的对冲基金经理表示，“对冲基金界今日绝对在蜂拥进入这一交易。分歧之处在于我们将看到多大的溢出效应……影响其他欧洲市场。”
大多数基金经理在接受英国《金融时报》采访时都要求匿名，因为从英镑暴跌中获利并非光彩之事。
英镑已经跌至1985年来的最低水平，昨日触及1.3118美元兑1英镑的低点，自投票结束以来已跌去14%。这标志着始于1971年的后布雷顿森林体系时代的最大两日跌幅。
一些对冲基金如今认为，英镑兑美元汇率可能在未来几周跌至1.10美元。据知情人士透露，全球最大的对冲基金桥水公司(Bridgewater)曾在上周一预测，如果公投的结果是留在欧盟，英镑汇率将上升4%，如果公投的结果是退欧，英镑汇率将下跌9%。
译者/申凯",2016年6月28日 06:24,在英国退欧公投期间保持观望的一些全球最大对冲基金预期英国经济将急剧恶化，开始大举做空英镑和英国公司股票。,对冲基金大举做空英镑和英股
